년도	월	약효분류코드	약효분류명	수량	사용금액
2018	2	129	기타의 말초신경용약	0	0
2018	2	131	안과용제	55,600	40,607
2018	2	132	이비과용제	998	4,228
2018	2	141	항히스타민제	213,345	11,815
2018	2	142	자격요법제(비특이성면역원제제를 포함)	11,267	27,056
2018	2	149	기타의 알레르기용약	38,064	15,106
2018	2	211	강심제	11,470	1,134
2018	2	212	부정맥용제	19,638	2,058
2018	2	213	이뇨제	25,612	1,356
2018	2	214	혈압강하제	245,495	129,956
2018	2	215	혈관보강제	3,908	777
2018	2	216	혈관수축제	548	69
2018	2	217	혈관확장제	53,384	9,627
2018	2	218	동맥경화용제	189,591	130,294
2018	2	219	기타의 순환계용약	160,468	46,121
2018	2	220	호흡기관용약	59	2,022
2018	2	221	호흡촉진제	86	218
2018	2	222	진해거담제	410,096	34,047
2018	2	223	함소흡입제	433,018	3,432
2018	2	229	기타의 호흡기관용약	45,436	8,026
2018	2	231	치과구강용약	693	666
2018	2	232	소화성궤양용제	319,132	81,744
2018	2	233	건위소화제	88	2
2018	2	234	제산제	81,101	3,255
2018	2	235	최토제,진토제	9,454	4,681
2018	2	236	이담제	11,747	2,381
2018	2	237	정장제	30,988	3,220
2018	2	238	하제,완장제	2,255	417
2018	2	239	기타의 소화기관용약	197,760	22,539
2018	2	241	뇌하수체호르몬제	2,168	5,137
2018	2	243	갑상선,부갑상선호르몬제	32,492	2,308
2018	2	244	단백동화스테로이드제	2	1
2018	2	245	부신호르몬제	41,829	4,051
2018	2	246	남성호르몬제	176	81
2018	2	247	난포호르몬 및 황체호르몬제	8,277	4,063
2018	2	249	기타의 호르몬제(항호르몬제를 포함)	626	12,609
2018	2	252	자궁수축제	199	88
2018	2	255	비뇨생식기관용제(성병예방제 포함)	3,531	1,259
2018	2	256	치질용제	32	91
2018	2	259	기타의 비뇨생식기관 및 항문용약	57,217	34,608
2018	2	261	외피용살균소독제	1	3
2018	2	262	창상보호제	0	0
2018	2	263	화농성질환용제	40	110
2018	2	264	진통·진양·수렴·소염제	2,351	7,067
2018	2	265	기생성 피부질환용제	447	2,095
2018	2	266	피부연화제(부식제를 포함)	59	188
2018	2	267	모발용제(발모,탈모,염모,양모제)	0	0
2018	2	269	기타의 외피용약	798	3,031
2018	2	311	비타민 A 및 D제	5,334	2,531
2018	2	312	비타민 B₁제	4,672	178
2018	2	313	비타민 B제(비타민 B₁을 제외)	9,875	286
2018	2	314	비타민 C 및 P제	198	48
2018	2	315	비타민 E 및 K제	76	18
2018	2	316	혼합비타민제(비타민 A D 혼합제를 제외)	1,995	461
2018	2	321	칼슘제	27,498	2,122
2018	2	322	무기질제제	11,335	1,572
2018	2	323	당류제	1,648	2,099
2018	2	325	단백아미노산제제	2,251	12,610
2018	2	326	장기제제	96	82
2018	2	329	기타의 자양강장변질제	39	586
2018	2	331	혈액대용제	10,030	10,031
2018	2	332	지혈제	1,150	2,779
2018	2	333	혈액응고저지제	9,295	11,615
2018	2	339	기타의 혈액 및 체액용약	50,993	36,097
2018	2	341	인공신장관류용제	19,463	10,555
2018	2	349	기타의 인공관류용제	798	8,834
2018	2	391	간장질환용제	43,911	19,944
2018	2	392	해독제	3,963	4,723
2018	2	394	통풍치료제	11,128	1,522
2018	2	395	효소제제	67,525	12,313
2018	2	396	당뇨병용제	190,580	73,199
2018	2	398	종합대사성제제	0	0
2018	2	399	따로 분류되지 않는 대사성 의약품	54,079	39,121
2018	2	421	항악성종양제	8,910	112,198
2018	2	429	기타의 종양치료제	219	762
2018	2	431	방사성 의약품	876	6,238
2018	2	439	기타의 조직세포의 치료 및 진단	56	19,627
2018	2	490	기타의 조직세포의 기능용의약품	918	824
2018	2	611	주로 그람양성균에 작용하는 것	628	3,253
2018	2	612	주로 그람음성균에 작용하는 것	603	1,566
2018	2	613	주로 항산성균에 작용하는 것	1,170	283
2018	2	614	주로 그람양성균,리케치아,비루스에 작용하는 것	5,972	3,213
2018	2	615	주로 그람양성,음성균,리케치아,비루스에 작용하는 것	3,910	586
2018	2	616	주로 곰팡이,원충에 작용하는 것	17	2,018
2018	2	617	주로 악성종양에 작용하는 것	26	924
2018	2	618	주로 그람양성,음성균에 작용하는 것	164,068	69,287
2018	2	619	기타의 항생물질 제제(복합항생물질제제를 포함)	19,042	7,791
2018	2	621	설화제	3,384	507
2018	2	622	항결핵제	3,883	761
