년도	월	약효분류코드	약효분류명	수량	사용금액	대분류코드	중분류코드	대분류	중분류
2018	1	322	무기질제제	13200	1871	300	320	대사성 의약품	자양강장변질제
2018	1	323	당류제	2362	3008	300	320	대사성 의약품	자양강장변질제
2018	1	325	단백아미노산제제	2844	17309	300	320	대사성 의약품	자양강장변질제
2018	1	326	장기제제	134	115	300	320	대사성 의약품	자양강장변질제
2018	1	329	기타의 자양강장변질제	57	878	300	320	대사성 의약품	자양강장변질제
2018	1	331	혈액대용제	14199	14264	300	330	대사성 의약품	혈액 및 체액용약
2018	1	332	지혈제	1465	3375	300	330	대사성 의약품	혈액 및 체액용약
2018	1	333	혈액응고저지제	10530	13620	300	330	대사성 의약품	혈액 및 체액용약
2018	1	339	기타의 혈액 및 체액용약	56462	41917	300	330	대사성 의약품	혈액 및 체액용약
2018	1	341	인공신장관류용제	22268	12432	300	340	대사성 의약품	인공관류용제
2018	1	349	기타의 인공관류용제	954	10385	300	340	대사성 의약품	인공관류용제
2018	1	391	간장질환용제	50472	22792	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	392	해독제	4565	5693	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	394	통풍치료제	12372	1689	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	395	효소제제	84864	14025	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	396	당뇨병용제	212193	81524	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	398	종합대사성제제	0	0	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	399	따로 분류되지 않는 대사성 의약품	62997	44847	300	390	대사성 의약품	기타의 대사성 의약품
2018	1	421	항악성종양제	10213	124132	400	420	조직세포의 기능용 의약품	종양용약
2018	1	429	기타의 종양치료제	262	903	400	420	조직세포의 기능용 의약품	종양용약
2018	1	431	방사성 의약품	1116	8131	400	430	조직세포의 기능용 의약품	조직세포의 치료 및 진단 목적
2018	1	439	기타의 조직세포의 치료 및 진단	62	22204	400	430	조직세포의 기능용 의약품	조직세포의 치료 및 진단 목적
2018	1	490	기타의 조직세포의 기능용의약품	1261	1137	400	490	조직세포의 기능용 의약품	자료없음
2018	1	611	주로 그람양성균에 작용하는 것	1011	5131	600	610	항병원생물성 의약품	항생물질제제
2018	1	612	주로 그람음성균에 작용하는 것	771	2142	600	610	항병원생물성 의약품	항생물질제제
2018	1	613	주로 항산성균에 작용하는 것	1435	340	600	610	항병원생물성 의약품	항생물질제제
2018	1	614	주로 그람양성균,리케치아,비루스에 작용하는 것	8596	4754	600	610	항병원생물성 의약품	항생물질제제
2018	1	615	주로 그람양성,음성균,리케치아,비루스에 작용하는 것	4337	644	600	610	항병원생물성 의약품	항생물질제제
2018	1	616	주로 곰팡이,원충에 작용하는 것	25	3074	600	610	항병원생물성 의약품	항생물질제제
2018	1	617	주로 악성종양에 작용하는 것	33	1123	600	610	항병원생물성 의약품	항생물질제제
2018	1	618	주로 그람양성,음성균에 작용하는 것	201899	98752	600	610	항병원생물성 의약품	항생물질제제
2018	1	619	기타의 항생물질 제제(복합항생물질제제를 포함)	24550	11985	600	610	항병원생물성 의약품	항생물질제제
2018	1	621	설화제	3910	596	600	620	항병원생물성 의약품	화학료법제
2018	1	622	항결핵제	4597	767	600	620	항병원생물성 의약품	화학료법제
2018	1	623	치나제	17	0	600	620	항병원생물성 의약품	화학료법제
2018	1	629	기타의 화학요법제	59522	101092	600	620	항병원생물성 의약품	화학료법제
2018	1	631	백신류	0	9	600	630	항병원생물성 의약품	생물학적 제제
2018	1	632	독소류 및 톡소이드류	1	167	600	630	항병원생물성 의약품	생물학적 제제
2018	1	633	항독소 및 렙토스피라혈청류	0	0	600	630	항병원생물성 의약품	생물학적 제제
2018	1	634	혈액제제류	5638	21713	600	630	항병원생물성 의약품	생물학적 제제
2018	1	635	생물학적 시험용제제류	1	10	600	630	항병원생물성 의약품	생물학적 제제
2018	1	636	생물학적 제제	0	15	600	630	항병원생물성 의약품	생물학적 제제
2018	1	639	기타의 생물학적 제제	7	3384	600	630	항병원생물성 의약품	생물학적 제제
2018	1	641	항원충제	8762	1741	600	640	항병원생물성 의약품	기생동물에 대한 의약품
2018	1	642	구충제	12	7	600	640	항병원생물성 의약품	기생동물에 대한 의약품
2018	1	712	연고기제	0	0	700	710	치료를 주목적으로 하지 않는 의약품 및 관련제품	조제용약
2018	1	713	용해제	1005	261	700	710	치료를 주목적으로 하지 않는 의약품 및 관련제품	조제용약
2018	1	721	X선조영제	4136	34514	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	1	722	일반검사용 시약	13	82	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	1	728	기능검사용 시약	14	187	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	1	729	기타의 진단용약	157	89	700	720	치료를 주목적으로 하지 않는 의약품 및 관련제품	진단용약
2018	1	799	따로 분류되지 않고 치료를 주목적으로 하지 않는 의약품	0	5	700	790	치료를 주목적으로 하지 않는 의약품 및 관련제품	기타의 치료를 주목적으로 하지않는 의약품
2018	1	811	아편알카로이드계 제제	5848	2295	800	810	마약	알카로이드 마약(천연)
2018	1	821	합성마약	5431	10861	800	820	마약	비알카로이드계 마약
2018	1	999	해당사항없음	108	15	900	990	자료없음	자료없음
2018	2	111	전신마취제	740	2736	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	112	최면진정제	18065	2646	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	113	항전간제	56456	15434	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	114	해열·진통·소염제	362515	57619	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	115	각성제,흥분제	1714	1392	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	116	진훈제	2132	76	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	117	정신신경용제	175956	35148	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	119	기타의 중추신경용약	106630	64040	100	110	신경계 감각기관용 의약품	중추신경계용약
2018	2	121	국소마취제	3049	1695	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	2	122	골격근이완제	43224	5917	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	2	123	자율신경제	16541	2293	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	2	124	진경제	28887	3627	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	2	129	기타의 말초신경용약	0	0	100	120	신경계 감각기관용 의약품	말초신경계용약
2018	2	131	안과용제	55600	40607	100	130	신경계 감각기관용 의약품	감각기관용약
2018	2	132	이비과용제	998	4228	100	130	신경계 감각기관용 의약품	감각기관용약
2018	2	141	항히스타민제	213345	11815	100	140	신경계 감각기관용 의약품	알레르기용약
2018	2	142	자격요법제(비특이성면역원제제를 포함)	11267	27056	100	140	신경계 감각기관용 의약품	알레르기용약
2018	2	149	기타의 알레르기용약	38064	15106	100	140	신경계 감각기관용 의약품	알레르기용약
2018	2	211	강심제	11470	1134	200	210	개개의 기관계용 의약품	순환계용약
2018	2	212	부정맥용제	19638	2058	200	210	개개의 기관계용 의약품	순환계용약
2018	2	213	이뇨제	25612	1356	200	210	개개의 기관계용 의약품	순환계용약
2018	2	214	혈압강하제	245495	129956	200	210	개개의 기관계용 의약품	순환계용약
